route_id,total_mileage,total_operating_time,average_speed
S46,2239008.1908,201927,11.272105827083333
B4,1569677.0547,205616,7.789364766386555
M8,356606.93581,60872,5.845812885714286
S52,1351088.2551,121238,11.330194914583333
M106,304863.80914,53732,6.141425371428571
SIM31,691531.92368,39404,18.461274830985916
Q48,1123979.8003,116486,9.554324658333333
S78,4003102.9357,289289,13.911597752083333
S42,155638.915163,13686,11.567344161971831
BX34,814614.52124,101332,8.145174457563025
QM17,388834.278705,27446,15.005187908450704
X28,1188805.06166,93889,12.882954086134454
S44,2202142.72,196899,11.222482227083333
M14A+,1164533.02993,194711,5.918833577310924
BX41,1530156.46619,203700,7.48201871092437
X27,1359423.6636,106727,12.988606170168067
SIM25,1078836.32969,44723,24.761830232394366
BM4,476088.150335,41151,12.462536033613445
BM1,890951.30167,76087,12.28483925
BXM2,1501929.3543,125346,12.498783
Q37,1428938.6648,160018,9.112988275630252
Q9,767564.42691,106991,7.347227120168067
Q85,3471392.1002,356970,9.767144547916667
Q38,1543839.9076,185487,8.493559147916667
B62,1932724.4648,262897,7.345226004201681
B48,1175253.25133,170327,6.9648298
QM8,393135.885314,25923,16.189733723880597
B12,1786834.5338,299977,6.065665943697479
S86,36954.07133,3220,11.426604196721312
Q23,2272023.4302,342430,6.661533762916667
M125,723211.1831,131983,5.545501530645161
M104,1894765.1674,321124,5.816866927310924
QM35,297636.674495,20006,15.691103052238806
M50,393973.6183,73508,5.58786712394958
M66,772556.89532,134738,6.096053969327731
Q69,1711698.6712,227671,7.646340622916667
B11,1635727.6734,268125,6.391315652941176
Q27,6404998.4917,680703,9.530608364583333
SIM34,665887.444705,38299,18.405359679577465
BXM10,1587142.04106,142757,11.897843754201681
BX20,146846.611055,18691,8.084435506153846
Q112,915639.26733,141150,6.537638406666667
S57,1198203.7042,92589,13.199807416666667
M23+,1020509.79667,177176,5.798950671428571
QM12,89832.913658,8521,11.082798515267176
X37,569672.827757,40564,15.022016401515152
Q60,3593481.7873,464909,7.747940419327731
B74,400577.67005,53254,7.537618060504202
Q113,1328033.043,129586,10.646830835416667
Q36,2027432.2658,205185,9.958808972916667
QM32,326478.786859,22550,15.840037708955224
B14,1269227.4342,186932,6.864537046638656
BX9,3128417.7056,478089,6.542096926470588
SIM6,1528362.03402,85652,18.387598161971831
BX18A,145998.11752,25391,5.865364357291667
Q42,248796.927409,27686,9.061521661940298
S56,516262.635034,36453,14.374147104166667
Q31,1433750.61905,161857,9.155497257083333
Q52+,2434277.346,175963,13.864703073529412
M21,304706.95899,49379,6.361269096218487
Q54,2683197.0738,337665,8.051965735294118
S94,207674.574955,17519,12.155899066115702
Q22,2525142.6906,240237,10.623039941176471
S76,1390079.19301,121246,11.762366160416667
BX16,1764902.9841,193569,9.380632132773109
BX42,1590254.9469,233619,6.888597079411765
BX29,917857.36269,59602,15.315505294117647
Q6,2134257.0335,272972,7.988063382352941
B6,7261290.435,933864,7.786468091596639
Q55,1340967.4128,172139,7.897726922268908
B2,506667.27492,59444,8.582097515546218
BXM8,1588332.4537,128800,13.208077283613445
BX24,601754.8065,61788,9.857520271008403
M57,729390.88461,144134,5.217639948739496
Q19,855634.3206,90581,9.628919539583333
M60+,4107992.7748,371586,10.986990006302521
M101,3809558.0245,595790,6.505914741596639
SIM33C,1923409.2067,124454,15.8852657125
Q21,603040.71744,52429,11.469343529411765
QM44,118424.930192,10153,13.391517382575758
BX12,1921489.18123,204502,9.410578429831933
Q4,2114998.2505,250294,8.536086547083333
Q32,2251264.1424,345066,6.657421961666667
BXM6,779739.02842,65511,12.635371050420168
SIM26,1236928.46375,50789,24.777063366197183
B20,1800605.1534,250021,7.376373467226891
QM34,284386.814966,25314,12.18619798880597
QM18,145432.74933,14850,11.056229200729927
S84,128814.010637,9603,13.662178775
BX27,846000.9379,109379,7.848496657142857
SIM15,687641.199521,42384,16.959888802816901
SIM4,899211.86201,45393,21.103057711267606
Q35,2598567.9731,154297,16.769105909663866
Q58,5793167.9665,760205,7.650445055882353
QM16,237245.234937,14649,16.804489941176471
S61,1623700.4427,138452,11.834243835416667
QM21,297619.229914,24126,13.103577720149254
M15+,3839134.4537,481857,8.275744616386555
B49,2525432.7587,331387,7.77213475
